,entry_time,signal_value,exit_time,view_name,signal_asset
209,2015-03-26 09:31:00-04:00,1,2015-04-07 09:31:00-04:00,spy_view,Long
210,2015-04-07 09:31:00-04:00,-1,2015-04-20 09:31:00-04:00,spy_view,Short
211,2015-04-20 09:31:00-04:00,0,2015-05-01 09:31:00-04:00,spy_view,
212,2015-05-01 09:31:00-04:00,1,2015-05-19 09:31:00-04:00,spy_view,Long
213,2015-05-19 09:31:00-04:00,-1,2015-05-27 09:31:00-04:00,spy_view,Short
214,2015-05-27 09:31:00-04:00,0,2015-06-09 09:31:00-04:00,spy_view,
215,2015-06-09 09:31:00-04:00,1,2015-06-11 09:31:00-04:00,spy_view,Long
216,2015-06-11 09:31:00-04:00,0,2015-06-16 09:31:00-04:00,spy_view,
217,2015-06-16 09:31:00-04:00,1,2015-06-23 09:31:00-04:00,spy_view,Long
218,2015-06-23 09:31:00-04:00,-1,2015-06-25 09:31:00-04:00,spy_view,Short
219,2015-06-25 09:31:00-04:00,0,2015-06-26 09:31:00-04:00,spy_view,
220,2015-06-26 09:31:00-04:00,1,2015-06-29 09:31:00-04:00,spy_view,Long
221,2015-06-29 09:31:00-04:00,0,2015-06-30 09:31:00-04:00,spy_view,
222,2015-06-30 09:31:00-04:00,1,2015-07-07 09:31:00-04:00,spy_view,Long
223,2015-07-07 09:31:00-04:00,-1,2015-07-10 09:31:00-04:00,spy_view,Short
224,2015-07-10 09:31:00-04:00,1,2015-07-15 09:31:00-04:00,spy_view,Long
225,2015-07-15 09:31:00-04:00,-1,2015-07-24 09:31:00-04:00,spy_view,Short
226,2015-07-24 09:31:00-04:00,1,2015-08-04 09:31:00-04:00,spy_view,Long
227,2015-08-04 09:31:00-04:00,-1,2015-08-07 09:31:00-04:00,spy_view,Short
228,2015-08-07 09:31:00-04:00,1,2015-08-19 09:31:00-04:00,spy_view,Long
229,2015-08-19 09:31:00-04:00,-2,2015-08-21 09:31:00-04:00,spy_view,Short
230,2015-08-21 09:31:00-04:00,1,2015-09-01 09:31:00-04:00,spy_view,Long
231,2015-09-01 09:31:00-04:00,-1,2015-09-10 09:31:00-04:00,spy_view,Short
232,2015-09-10 09:31:00-04:00,2,2015-09-22 09:31:00-04:00,spy_view,Long
233,2015-09-22 09:31:00-04:00,-1,2015-09-29 09:31:00-04:00,spy_view,Short
234,2015-09-29 09:31:00-04:00,2,2015-10-06 09:31:00-04:00,spy_view,Long
235,2015-10-06 09:31:00-04:00,-2,2015-10-15 09:31:00-04:00,spy_view,Short
236,2015-10-15 09:31:00-04:00,1,2015-11-04 09:31:00-05:00,spy_view,Long
237,2015-11-04 09:31:00-05:00,-2,2015-11-10 09:31:00-05:00,spy_view,Short
238,2015-11-10 09:31:00-05:00,1,2015-11-12 09:31:00-05:00,spy_view,Long
239,2015-11-12 09:31:00-05:00,0,2015-11-19 09:31:00-05:00,spy_view,
240,2015-11-19 09:31:00-05:00,-2,2015-11-25 09:31:00-05:00,spy_view,Short
241,2015-11-25 09:31:00-05:00,0,2015-12-10 09:31:00-05:00,spy_view,
242,2015-12-10 09:31:00-05:00,1,2015-12-21 09:31:00-05:00,spy_view,Long
243,2015-12-21 09:31:00-05:00,-2,2016-01-04 09:31:00-05:00,spy_view,Short
244,2016-01-04 09:31:00-05:00,0,2016-01-05 09:31:00-05:00,spy_view,
245,2016-01-05 09:31:00-05:00,1,2016-01-14 09:31:00-05:00,spy_view,Long
246,2016-01-14 09:31:00-05:00,-2,2016-01-19 09:31:00-05:00,spy_view,Short
247,2016-01-19 09:31:00-05:00,2,2016-01-27 09:31:00-05:00,spy_view,Long
248,2016-01-27 09:31:00-05:00,-2,2016-02-11 09:31:00-05:00,spy_view,Short
249,2016-02-11 09:31:00-05:00,1,2016-02-16 09:31:00-05:00,spy_view,Long
250,2016-02-16 09:31:00-05:00,-1,2016-02-24 09:31:00-05:00,spy_view,Short
251,2016-02-24 09:31:00-05:00,1,2016-03-04 09:31:00-05:00,spy_view,Long
252,2016-03-04 09:31:00-05:00,-1,2016-03-08 09:31:00-05:00,spy_view,Short
253,2016-03-08 09:31:00-05:00,1,2016-03-15 09:31:00-04:00,spy_view,Long
254,2016-03-15 09:31:00-04:00,-1,2016-03-30 09:31:00-04:00,spy_view,Short
255,2016-03-30 09:31:00-04:00,1,2016-04-01 09:31:00-04:00,spy_view,Long
256,2016-04-01 09:31:00-04:00,-1,2016-04-06 09:31:00-04:00,spy_view,Short
257,2016-04-06 09:31:00-04:00,0,2016-04-18 09:31:00-04:00,spy_view,
258,2016-04-18 09:31:00-04:00,-1,2016-04-19 09:31:00-04:00,spy_view,Short
259,2016-04-19 09:31:00-04:00,0,2016-05-02 09:31:00-04:00,spy_view,
260,2016-05-02 09:31:00-04:00,-1,2016-05-04 09:31:00-04:00,spy_view,Short
261,2016-05-04 09:31:00-04:00,1,2016-05-11 09:31:00-04:00,spy_view,Long
262,2016-05-11 09:31:00-04:00,-1,2016-05-18 09:31:00-04:00,spy_view,Short
263,2016-05-18 09:31:00-04:00,2,2016-05-25 09:31:00-04:00,spy_view,Long
264,2016-05-25 09:31:00-04:00,-1,2016-06-03 09:31:00-04:00,spy_view,Short
265,2016-06-03 09:31:00-04:00,0,2016-06-22 09:31:00-04:00,spy_view,
266,2016-06-22 09:31:00-04:00,1,2016-06-30 09:31:00-04:00,spy_view,Long
267,2016-06-30 09:31:00-04:00,-1,2016-07-14 09:31:00-04:00,spy_view,Short
268,2016-07-14 09:31:00-04:00,0,2016-07-18 09:31:00-04:00,spy_view,
269,2016-07-18 09:31:00-04:00,-1,2016-07-20 09:31:00-04:00,spy_view,Short
270,2016-07-20 09:31:00-04:00,0,2016-08-08 09:31:00-04:00,spy_view,
271,2016-08-08 09:31:00-04:00,-1,2016-08-10 09:31:00-04:00,spy_view,Short
272,2016-08-10 09:31:00-04:00,0,2016-08-16 09:31:00-04:00,spy_view,
273,2016-08-16 09:31:00-04:00,-1,2016-08-18 09:31:00-04:00,spy_view,Short
274,2016-08-18 09:31:00-04:00,0,2016-08-31 09:31:00-04:00,spy_view,
275,2016-08-31 09:31:00-04:00,-1,2016-09-09 09:31:00-04:00,spy_view,Short
276,2016-09-09 09:31:00-04:00,0,2016-09-14 09:31:00-04:00,spy_view,
277,2016-09-14 09:31:00-04:00,1,2016-09-26 09:31:00-04:00,spy_view,Long
278,2016-09-26 09:31:00-04:00,-1,2016-09-27 09:31:00-04:00,spy_view,Short
279,2016-09-27 09:31:00-04:00,0,2016-09-28 09:31:00-04:00,spy_view,
280,2016-09-28 09:31:00-04:00,1,2016-09-29 09:31:00-04:00,spy_view,Long
281,2016-09-29 09:31:00-04:00,0,2016-09-30 09:31:00-04:00,spy_view,
282,2016-09-30 09:31:00-04:00,1,2016-10-05 09:31:00-04:00,spy_view,Long
283,2016-10-05 09:31:00-04:00,-1,2016-10-20 09:31:00-04:00,spy_view,Short
284,2016-10-20 09:31:00-04:00,0,2016-10-21 09:31:00-04:00,spy_view,
285,2016-10-21 09:31:00-04:00,-1,2016-10-25 09:31:00-04:00,spy_view,Short
286,2016-10-25 09:31:00-04:00,0,2016-11-02 09:31:00-04:00,spy_view,
287,2016-11-02 09:31:00-04:00,2,2016-11-14 09:31:00-05:00,spy_view,Long
288,2016-11-14 09:31:00-05:00,-1,2016-11-25 09:31:00-05:00,spy_view,Short
289,2016-11-25 09:31:00-05:00,0,2016-12-06 09:31:00-05:00,spy_view,
290,2016-12-06 09:31:00-05:00,1,2016-12-14 09:31:00-05:00,spy_view,Long
291,2016-12-14 09:31:00-05:00,-1,2016-12-16 09:31:00-05:00,spy_view,Short
292,2016-12-16 09:31:00-05:00,1,2016-12-20 09:31:00-05:00,spy_view,Long
293,2016-12-20 09:31:00-05:00,-1,2016-12-30 09:31:00-05:00,spy_view,Short
294,2016-12-30 09:31:00-05:00,0,2017-01-10 09:31:00-05:00,spy_view,
295,2017-01-10 09:31:00-05:00,-1,2017-01-18 09:31:00-05:00,spy_view,Short
296,2017-01-18 09:31:00-05:00,0,2017-02-07 09:31:00-05:00,spy_view,
297,2017-02-07 09:31:00-05:00,-1,2017-02-17 09:31:00-05:00,spy_view,Short
298,2017-02-17 09:31:00-05:00,0,2017-03-06 09:31:00-05:00,spy_view,
299,2017-03-06 09:31:00-05:00,-2,2017-03-08 09:31:00-05:00,spy_view,Short
300,2017-03-08 09:31:00-05:00,0,2017-03-21 09:31:00-04:00,spy_view,
301,2017-03-21 09:31:00-04:00,-2,2017-03-22 09:31:00-04:00,spy_view,Short
