,Unnamed: 0,date,cusip,dcm_security_id
3679099,3679099,2023-05-26,615369105,22139
3679100,3679100,2023-05-26,60646V105,57627
3679101,3679101,2023-05-26,60937P106,51314
3679102,3679102,2023-05-26,609207105,22802
3679103,3679103,2023-05-26,G5960L103,4758
3679104,3679104,2023-05-26,552690109,4760
3679105,3679105,2023-05-26,59156R108,21418
3679106,3679106,2023-05-26,30303M102,42950
3679107,3679107,2023-05-26,552953101,4831
3679108,3679108,2023-05-26,608190104,4963
3679109,3679109,2023-05-26,596278101,4695
3679110,3679110,2023-05-26,579780206,4705
3679111,3679111,2023-05-26,570535104,4649
3679112,3679112,2023-05-26,55306N104,19909
3679113,3679113,2023-05-26,57060D108,26781
3679114,3679114,2023-05-26,573284106,10796
3679115,3679115,2023-05-26,571748102,4914
3679116,3679116,2023-05-26,88579Y101,4922
3679117,3679117,2023-05-26,61174X109,3450
3679118,3679118,2023-05-26,02209S103,4954
3679119,3679119,2023-05-26,60855R100,25349
3679120,3679120,2023-05-26,617700109,27216
3679121,3679121,2023-05-26,61945C103,41462
3679122,3679122,2023-05-26,553368101,54301
3679123,3679123,2023-05-26,56585A102,41636
3679124,3679124,2023-05-26,58463J304,27443
3679125,3679125,2023-05-26,609839105,26811
3679126,3679126,2023-05-26,589378108,18183
3679127,3679127,2023-05-26,58933Y105,5029
3679128,3679128,2023-05-26,60770K107,52751
3679129,3679129,2023-05-26,565849106,5035
3679130,3679130,2023-05-26,60468T105,45080
3679131,3679131,2023-05-26,56600D107,55269
3679132,3679132,2023-05-26,573874104,21666
3679133,3679133,2023-05-26,617446448,17080
3679134,3679134,2023-05-26,553498106,4939
3679135,3679135,2023-05-26,55354G100,35078
3679136,3679136,2023-05-26,594918104,5061
3679137,3679137,2023-05-26,55825T103,49458
3679138,3679138,2023-05-26,620076307,4974
3679139,3679139,2023-05-26,553530106,5066
3679140,3679140,2023-05-26,55261F104,5117
3679141,3679141,2023-05-26,57667L107,54353
3679142,3679142,2023-05-26,592688105,17895
3679143,3679143,2023-05-26,552848103,5092
3679144,3679144,2023-05-26,91879Q109,24799
3679145,3679145,2023-05-26,576323109,4667
3679146,3679146,2023-05-26,595112103,5121
3679147,3679147,2023-05-26,636518102,12701
3679148,3679148,2023-05-26,64125C109,14972
3679149,3679149,2023-05-26,G66721104,43981
3679150,3679150,2023-05-26,63947X101,54382
3679151,3679151,2023-05-26,62886E108,16389
3679152,3679152,2023-05-26,631103108,27026
3679153,3679153,2023-05-26,655663102,5253
3679154,3679154,2023-05-26,65339F101,2968
3679155,3679155,2023-05-26,651639106,5261
3679156,3679156,2023-05-26,18915M107,53480
3679157,3679157,2023-05-26,651587107,26395
3679158,3679158,2023-05-26,64829B100,48253
3679159,3679159,2023-05-26,644393100,52831
3679160,3679160,2023-05-26,636180101,5284
3679161,3679161,2023-05-26,64110L106,23709
3679162,3679162,2023-05-26,65473P105,5310
3679163,3679163,2023-05-26,654106103,5328
3679164,3679164,2023-05-26,035710839,17702
3679165,3679165,2023-05-26,637417106,5376
3679166,3679166,2023-05-26,666807102,5387
3679167,3679167,2023-05-26,62955J103,24809
3679168,3679168,2023-05-26,81762P102,43127
3679169,3679169,2023-05-26,629377508,26143
3679170,3679170,2023-05-26,637870106,48969
3679171,3679171,2023-05-26,655844108,5442
3679172,3679172,2023-05-26,64110D104,13905
3679173,3679173,2023-05-26,67059N108,50338
3679174,3679174,2023-05-26,632307104,49236
3679175,3679175,2023-05-26,665859104,5479
3679176,3679176,2023-05-26,670346105,5488
3679177,3679177,2023-05-26,670002401,14112
3679178,3679178,2023-05-26,G6674U108,49460
3679179,3679179,2023-05-26,67066G104,19725
3679180,3679180,2023-05-26,62944T105,5513
3679181,3679181,2023-05-26,29415F104,53498
3679182,3679182,2023-05-26,G6700G107,51928
3679183,3679183,2023-05-26,651229106,5520
3679184,3679184,2023-05-26,65249B208,44932
3679185,3679185,2023-05-26,65249B109,44931
3679186,3679186,2023-05-26,65336K103,25679
3679187,3679187,2023-05-26,649445103,22250
3679188,3679188,2023-05-26,650111107,5551
3679189,3679189,2023-05-26,756109104,12087
3679190,3679190,2023-05-26,690742101,32608
3679191,3679191,2023-05-26,679580100,5582
3679192,3679192,2023-05-26,670837103,5607
3679193,3679193,2023-05-26,68622V106,57331
3679194,3679194,2023-05-26,681936100,5621
3679195,3679195,2023-05-26,682680103,5634
3679196,3679196,2023-05-26,679295105,50758
3679197,3679197,2023-05-26,91347P105,14774
3679198,3679198,2023-05-26,681116109,49271
3679199,3679199,2023-05-26,680665205,5643
3679200,3679200,2023-05-26,679369108,58398
3679201,3679201,2023-05-26,681919106,5651
3679202,3679202,2023-05-26,68268W103,45670
3679203,3679203,2023-05-26,682189105,21429
3679204,3679204,2023-05-26,683712103,54288
3679205,3679205,2023-05-26,68389X105,5692
3679206,3679206,2023-05-26,680223104,5696
3679207,3679207,2023-05-26,67103H107,8857
3679208,3679208,2023-05-26,688239201,5719
3679209,3679209,2023-05-26,68902V107,54055
3679210,3679210,2023-05-26,69047Q102,23021
3679211,3679211,2023-05-26,09581B103,55479
3679212,3679212,2023-05-26,674599105,5729
3679213,3679213,2023-05-26,06417N103,17264
3679214,3679214,2023-05-26,695263103,21624
3679215,3679215,2023-05-26,70959W103,15913
3679216,3679216,2023-05-26,697435105,43202
3679217,3679217,2023-05-26,92556H206,7962
3679218,3679218,2023-05-26,92556H107,27970
3679219,3679219,2023-05-26,90364P105,56995
3679220,3679220,2023-05-26,70432V102,46744
3679221,3679221,2023-05-26,704326107,5767
3679222,3679222,2023-05-26,743606105,19509
3679223,3679223,2023-05-26,693718108,5787
3679224,3679224,2023-05-26,69331C108,5792
3679225,3679225,2023-05-26,74275K108,57389
3679226,3679226,2023-05-26,70438V106,46569
3679227,3679227,2023-05-26,69327R101,5907
3679228,3679228,2023-05-26,42250P103,3490
3679229,3679229,2023-05-26,744573106,5862
3679230,3679230,2023-05-26,705573103,15365
3679231,3679231,2023-05-26,70975L107,49413
3679232,3679232,2023-05-26,707569109,11361
3679233,3679233,2023-05-26,713448108,5885
3679234,3679234,2023-05-26,717081103,5923
3679235,3679235,2023-05-26,74251V102,23151
3679236,3679236,2023-05-26,71377A103,49455
3679237,3679237,2023-05-26,742718109,5938
3679238,3679238,2023-05-26,743315103,5950
3679239,3679239,2023-05-26,701094104,5956
3679240,3679240,2023-05-26,745867101,5969
3679241,3679241,2023-05-26,731068102,6992
3679242,3679242,2023-05-26,74051N102,45506
3679243,3679243,2023-05-26,72352L106,53089
3679244,3679244,2023-05-26,700517105,50535
3679245,3679245,2023-05-26,695156109,20773
3679246,3679246,2023-05-26,74340W103,24785
3679247,3679247,2023-05-26,72703H101,49322
3679248,3679248,2023-05-26,72815L107,55732
3679249,3679249,2023-05-26,69608A108,54833
3679250,3679250,2023-05-26,72919P202,20776
3679251,3679251,2023-05-26,718172109,35902
3679252,3679252,2023-05-26,693475105,6068
3679253,3679253,2023-05-26,72346Q104,23718
3679254,3679254,2023-05-26,G7S00T104,6082
3679255,3679255,2023-05-26,723484101,6090
3679256,3679256,2023-05-26,45784P101,33858
3679257,3679257,2023-05-26,73278L105,13718
3679258,3679258,2023-05-26,737446104,42407
3679259,3679259,2023-05-26,72147K108,39111
3679260,3679260,2023-05-26,693506107,6116
3679261,3679261,2023-05-26,69351T106,6119
3679262,3679262,2023-05-26,G97822103,6161
3679263,3679263,2023-05-26,74164M108,39434
3679264,3679264,2023-05-26,744320102,23328
3679265,3679265,2023-05-26,74460D109,24962
3679266,3679266,2023-05-26,74624M102,49464
3679267,3679267,2023-05-26,718546104,42788
3679268,3679268,2023-05-26,69370C100,6064
3679269,3679269,2023-05-26,70614W100,53535
3679270,3679270,2023-05-26,693656100,6257
3679271,3679271,2023-05-26,74762E102,6269
3679272,3679272,2023-05-26,723787107,17436
3679273,3679273,2023-05-26,70435P102,57843
3679274,3679274,2023-05-26,70450Y103,49242
3679275,3679275,2023-05-26,747525103,6295
3679276,3679276,2023-05-26,219798105,6297
3679277,3679277,2023-05-26,N72482123,15206
3679278,3679278,2023-05-26,74736K101,48384
3679279,3679279,2023-05-26,74767V109,54533
3679280,3679280,2023-05-26,783549108,6326
3679281,3679281,2023-05-26,90400D108,46285
3679282,3679282,2023-05-26,771049103,56436
3679283,3679283,2023-05-26,V7780T103,8863
3679284,3679284,2023-05-26,G3223R108,13720
3679285,3679285,2023-05-26,758849103,10027
3679286,3679286,2023-05-26,75886F107,6413
3679287,3679287,2023-05-26,76169C100,45111
3679288,3679288,2023-05-26,76171L106,53900
3679289,3679289,2023-05-26,7591EP100,34913
3679290,3679290,2023-05-26,759351604,9037
3679291,3679291,2023-05-26,759916109,6449
3679292,3679292,2023-05-26,780287108,6455
3679293,3679293,2023-05-26,74967X103,43599
3679294,3679294,2023-05-26,770323103,6465
3679295,3679295,2023-05-26,64828T201,44647
3679296,3679296,2023-05-26,76954A103,58822
3679297,3679297,2023-05-26,754730109,6482
3679298,3679298,2023-05-26,77311W101,54483
3679299,3679299,2023-05-26,751212101,24832
3679300,3679300,2023-05-26,761152107,13089
3679301,3679301,2023-05-26,76680R206,45521
3679302,3679302,2023-05-26,G7496G103,13267
3679303,3679303,2023-05-26,773903109,6536
3679304,3679304,2023-05-26,77543R102,51231
3679305,3679305,2023-05-26,775711104,6539
3679306,3679306,2023-05-26,776696106,6543
3679307,3679307,2023-05-26,778296103,6546
3679308,3679308,2023-05-26,749685103,6557
3679309,3679309,2023-05-26,G7709Q104,54267
3679310,3679310,2023-05-26,75281A109,19249
3679311,3679311,2023-05-26,758750103,6352
3679312,3679312,2023-05-26,759509102,11955
3679313,3679313,2023-05-26,760759100,19147
3679314,3679314,2023-05-26,75513E101,7883
3679315,3679315,2023-05-26,86771W105,49321
3679316,3679316,2023-05-26,714046109,20774
3679317,3679317,2023-05-26,74982T103,60708
3679318,3679318,2023-05-26,78351F107,57857
3679319,3679319,2023-05-26,754907103,11044
3679320,3679320,2023-05-26,81730H109,57661
3679321,3679321,2023-05-26,808625107,45410
3679322,3679322,2023-05-26,100557107,24822
3679323,3679323,2023-05-26,78410G104,20281
3679324,3679324,2023-05-26,855244109,6683
3679325,3679325,2023-05-26,84265V105,14284
3679326,3679326,2023-05-26,808513105,6704
3679327,3679327,2023-05-26,817565104,7110
3679328,3679328,2023-05-26,811543107,6761
3679329,3679329,2023-05-26,81211K100,6769
3679330,3679330,2023-05-26,784117103,6774
3679331,3679331,2023-05-26,860630102,6798
3679332,3679332,2023-05-26,81181C104,22563
3679333,3679333,2023-05-26,83601L102,55271
3679334,3679334,2023-05-26,824348106,6868
3679335,3679335,2023-05-26,82968B103,11901
3679336,3679336,2023-05-26,82982L103,49959
3679337,3679337,2023-05-26,83001A102,39612
3679338,3679338,2023-05-26,832696405,21935
3679339,3679339,2023-05-26,830566105,20284
3679340,3679340,2023-05-26,806857108,6928
3679341,3679341,2023-05-26,78440X887,17448
3679342,3679342,2023-05-26,827048109,16559
3679343,3679343,2023-05-26,78442P106,6935
3679344,3679344,2023-05-26,83200N103,51961
3679345,3679345,2023-05-26,810186106,6736
3679346,3679346,2023-05-26,833034101,6976
3679347,3679347,2023-05-26,80689H102,50763
3679348,3679348,2023-05-26,833445109,54694
3679349,3679349,2023-05-26,871607107,6994
3679350,3679350,2023-05-26,87161C501,7007
3679351,3679351,2023-05-26,87162W100,25697
3679352,3679352,2023-05-26,842587107,7011
3679353,3679353,2023-05-26,83406F102,55353
3679354,3679354,2023-05-26,835495102,7028
3679355,3679355,2023-05-26,84790A105,8414
3679356,3679356,2023-05-26,828806109,10528
3679357,3679357,2023-05-26,78409V104,4849
